שם תחנה,מספר תחנה,תאריך,סוג קרינה(),05-06 LST(kJ/m²),06-07 LST(kJ/m²),07-08 LST(kJ/m²),08-09 LST(kJ/m²),09-10 LST(kJ/m²),10-11 LST(kJ/m²),11-12 LST(kJ/m²),12-13 LST(kJ/m²),13-14 LST(kJ/m²),14-15 LST(kJ/m²),15-16 LST(kJ/m²),16-17 LST(kJ/m²),17-18 LST(kJ/m²),18-19 LST(kJ/m²)
בית דגן קרינה                                     ,2524,16-02-2020,ישירה,0,3.6,673.2,648,2052,1267.2,1159.2,1076.4,2084.4,198,1641.6,493.2,0,0
בית דגן קרינה                                     ,2524,16-02-2020,מפוזרת,0,21.6,252,518.4,684,892.8,720,1018.8,615.6,529.2,403.2,176.4,0,0
בית דגן קרינה                                     ,2524,16-02-2020,גלובאלית,0,25.2,453.6,892.8,1940.4,1861.2,1630.8,2001.6,2077.2,698.4,1098,327.6,0,0
בית דגן קרינה                                     ,2524,17-02-2020,מפוזרת,0,46.8,252,432,594,939.6,939.6,864,648,496.8,374.4,216,25.2,0
בית דגן קרינה                                     ,2524,17-02-2020,גלובאלית,0,64.8,554.4,1310.4,1789.2,2142,1659.6,2368.8,2242.8,1803.6,1159.2,464.4,28.8,0
בית דגן קרינה                                     ,2524,17-02-2020,ישירה,0,147.6,1134,1944,1951.2,1576.8,802.8,1908,2286,2282.4,1886.4,1029.6,32.4,0
בית דגן קרינה                                     ,2524,18-02-2020,ישירה,0,14.4,936,1522.8,702,1083.6,1339.2,1569.6,1980,1864.8,810,154.8,0,0
בית דגן קרינה                                     ,2524,18-02-2020,מפוזרת,0,75.6,352.8,378,774,896.4,1112.4,903.6,885.6,802.8,626.4,234,18,0
בית דגן קרינה                                     ,2524,18-02-2020,גלובאלית,0,82.8,622.8,1058.4,1274.4,1778.4,2282.4,2210.4,2340,1940.4,1036.8,298.8,21.6,0
בית דגן קרינה                                     ,2524,19-02-2020,ישירה,0,3.6,309.6,1317.6,1292.4,21.6,10.8,0,0,0,0,7.2,0,0
בית דגן קרינה                                     ,2524,19-02-2020,מפוזרת,0,32.4,226.8,374.4,918,658.8,687.6,241.2,504,378,176.4,108,10.8,0
בית דגן קרינה                                     ,2524,19-02-2020,גלובאלית,0,36,352.8,1044,1731.6,734.4,748.8,259.2,547.2,410.4,198,115.2,10.8,0
בית דגן קרינה                                     ,2524,20-02-2020,ישירה,0,21.6,536.4,1076.4,2080.8,932.4,1756.8,1587.6,1620,2516.4,1119.6,514.8,61.2,0
בית דגן קרינה                                     ,2524,20-02-2020,מפוזרת,0,57.6,345.6,457.2,687.6,644.4,788.4,723.6,720,432,493.2,327.6,28.8,0
בית דגן קרינה                                     ,2524,20-02-2020,גלובאלית,0,68.4,522,979.2,1976.4,1389.6,2199.6,1976.4,1882.8,1890,1004.4,475.2,36,0
בית דגן קרינה                                     ,2524,21-02-2020,מפוזרת,0,57.6,435.6,702,1008,1209.6,928.8,982.8,759.6,633.6,547.2,201.6,21.6,0
בית דגן קרינה                                     ,2524,21-02-2020,גלובאלית,0,104.4,622.8,907.2,1537.2,2019.6,2649.6,1742.4,2271.6,1594.8,676.8,230.4,25.2,0
בית דגן קרינה                                     ,2524,21-02-2020,ישירה,0,115.2,464.4,255.6,583.2,835.2,2116.8,856.8,2116.8,1483.2,165.6,57.6,7.2,0
בית דגן קרינה                                     ,2524,22-02-2020,ישירה,0,39.6,806.4,1742.4,2102.4,709.2,3.6,129.6,0,3.6,547.2,1123.2,50.4,0
בית דגן קרינה                                     ,2524,22-02-2020,מפוזרת,0,79.2,367.2,597.6,730.8,943.2,406.8,1094.4,457.2,392.4,601.2,270,32.4,0
בית דגן קרינה                                     ,2524,22-02-2020,גלובאלית,0,93.6,648,1483.2,2116.8,1591.2,439.2,1342.8,489.6,414,892.8,554.4,39.6,0
